AID,package name,class token,class name,method token,method name,method signature
A0000000620101,javacard.framework,18,AppletEvent,0,uninstall,()
A0000000620101,javacard.framework,0,ISO7816
A0000000620101,javacard.framework,17,MultiSelectable,0,select,(boolean)
A0000000620101,javacard.framework,17,MultiSelectable,1,deselect,(boolean)
A0000000620101,javacard.framework,1,PIN,0,check,(byte[];short;byte)
A0000000620101,javacard.framework,1,PIN,1,getTriesRemaining,()
A0000000620101,javacard.framework,1,PIN,2,isValidated,()
A0000000620101,javacard.framework,1,PIN,3,reset,()
A0000000620101,javacard.framework,19,OwnerPINx,0,check,(byte[];short;byte)
A0000000620101,javacard.framework,19,OwnerPINx,1,getTriesRemaining,()
A0000000620101,javacard.framework,19,OwnerPINx,2,isValidated,()
A0000000620101,javacard.framework,19,OwnerPINx,3,reset,()
A0000000620101,javacard.framework,19,OwnerPINx,4,update,(byte[];short;byte)
A0000000620101,javacard.framework,19,OwnerPINx,5,getTryLimit,()
A0000000620101,javacard.framework,19,OwnerPINx,6,setTryLimit,(byte)
A0000000620101,javacard.framework,19,OwnerPINx,7,setTriesRemaining,(byte)
A0000000620101,javacard.framework,20,OwnerPINxWithPredecrement,0,check,(byte[];short;byte)
A0000000620101,javacard.framework,20,OwnerPINxWithPredecrement,1,getTriesRemaining,()
A0000000620101,javacard.framework,20,OwnerPINxWithPredecrement,2,isValidated,()
A0000000620101,javacard.framework,20,OwnerPINxWithPredecrement,3,reset,()
A0000000620101,javacard.framework,20,OwnerPINxWithPredecrement,4,update,(byte[];short;byte)
A0000000620101,javacard.framework,20,OwnerPINxWithPredecrement,5,getTryLimit,()
A0000000620101,javacard.framework,20,OwnerPINxWithPredecrement,6,setTryLimit,(byte)
A0000000620101,javacard.framework,20,OwnerPINxWithPredecrement,7,setTriesRemaining,(byte)
A0000000620101,javacard.framework,20,OwnerPINxWithPredecrement,8,decrementTriesRemaining,()
A0000000620101,javacard.framework,2,Shareable
A0000000620101,javacard.framework,6,AID,1,RIDEquals,(javacard.framework.AID)
A0000000620101,javacard.framework,6,AID,3,getBytes,(byte[];short)
A0000000620101,javacard.framework,6,AID,4,partialEquals,(byte[];short;byte)
A0000000620101,javacard.framework,6,AID,5,getPartialBytes,(short;byte[];short;byte)
A0000000620101,javacard.framework,5,CardRuntimeException,1,throwIt,(short)
A0000000620101,javacard.framework,5,CardRuntimeException,1,getReason,()
A0000000620101,javacard.framework,5,CardRuntimeException,2,setReason,(short)
A0000000620101,javacard.framework,8,JCSystem,10,isTransient,(java.lang.Object)
A0000000620101,javacard.framework,8,JCSystem,12,makeTransientBooleanArray,(short;byte)
A0000000620101,javacard.framework,8,JCSystem,13,makeTransientByteArray,(short;byte)
A0000000620101,javacard.framework,8,JCSystem,15,makeTransientShortArray,(short;byte)
A0000000620101,javacard.framework,8,JCSystem,14,makeTransientObjectArray,(short;byte)
A0000000620101,javacard.framework,8,JCSystem,21,makeGlobalArray,(byte;short)
A0000000620101,javacard.framework,8,JCSystem,23,makeArrayView,(java.lang.Object;short;short;short;javacard.framework.Shareable)
A0000000620101,javacard.framework,8,JCSystem,26,makeBooleanArrayView,(boolean[];short;short;short;javacard.framework.Shareable)
A0000000620101,javacard.framework,8,JCSystem,27,makeByteArrayView,(byte[];short;short;short;javacard.framework.Shareable)
A0000000620101,javacard.framework,8,JCSystem,28,makeShortArrayView,(short[];short;short;short;javacard.framework.Shareable)
A0000000620101,javacard.framework,8,JCSystem,24,isArrayView,(java.lang.Object)
A0000000620101,javacard.framework,8,JCSystem,25,getAttributes,(java.lang.Object)
A0000000620101,javacard.framework,8,JCSystem,9,getVersion,()
A0000000620101,javacard.framework,8,JCSystem,3,getAID,()
A0000000620101,javacard.framework,8,JCSystem,11,lookupAID,(byte[];short;byte)
A0000000620101,javacard.framework,8,JCSystem,1,beginTransaction,()
A0000000620101,javacard.framework,8,JCSystem,0,abortTransaction,()
A0000000620101,javacard.framework,8,JCSystem,2,commitTransaction,()
A0000000620101,javacard.framework,8,JCSystem,7,getTransactionDepth,()
A0000000620101,javacard.framework,8,JCSystem,8,getUnusedCommitCapacity,()
A0000000620101,javacard.framework,8,JCSystem,5,getMaxCommitCapacity,()
A0000000620101,javacard.framework,8,JCSystem,6,getPreviousContextAID,()
A0000000620101,javacard.framework,8,JCSystem,16,getAvailableMemory,(byte)
A0000000620101,javacard.framework,8,JCSystem,22,getAvailableMemory,(short[];short;byte)
A0000000620101,javacard.framework,8,JCSystem,4,getAppletShareableInterfaceObject,(javacard.framework.AID;byte)
A0000000620101,javacard.framework,8,JCSystem,17,isObjectDeletionSupported,()
A0000000620101,javacard.framework,8,JCSystem,18,requestObjectDeletion,()
A0000000620101,javacard.framework,8,JCSystem,19,getAssignedChannel,()
A0000000620101,javacard.framework,8,JCSystem,20,isAppletActive,(javacard.framework.AID)
A0000000620101,javacard.framework,12,APDUException,1,throwIt,(short)
A0000000620101,javacard.framework,12,APDUException,1,getReason,()
A0000000620101,javacard.framework,12,APDUException,2,setReason,(short)
A0000000620101,javacard.framework,9,OwnerPIN,1,check,(byte[];short;byte)
A0000000620101,javacard.framework,9,OwnerPIN,2,getTriesRemaining,()
A0000000620101,javacard.framework,9,OwnerPIN,3,getValidatedFlag,()
A0000000620101,javacard.framework,9,OwnerPIN,4,isValidated,()
A0000000620101,javacard.framework,9,OwnerPIN,5,reset,()
A0000000620101,javacard.framework,9,OwnerPIN,6,resetAndUnblock,()
A0000000620101,javacard.framework,9,OwnerPIN,7,setValidatedFlag,(boolean)
A0000000620101,javacard.framework,9,OwnerPIN,8,update,(byte[];short;byte)
A0000000620101,javacard.framework,21,OwnerPINBuilder,0,buildOwnerPIN,(byte;byte;byte)
A0000000620101,javacard.framework,3,Applet,1,install,(byte[];short;byte)
A0000000620101,javacard.framework,3,Applet,2,reSelectingApplet,()
A0000000620101,javacard.framework,3,Applet,1,register,()
A0000000620101,javacard.framework,3,Applet,2,register,(byte[];short;byte)
A0000000620101,javacard.framework,3,Applet,3,selectingApplet,()
A0000000620101,javacard.framework,3,Applet,4,deselect,()
A0000000620101,javacard.framework,3,Applet,5,getShareableInterfaceObject,(javacard.framework.AID;byte)
A0000000620101,javacard.framework,3,Applet,6,select,()
A0000000620101,javacard.framework,3,Applet,7,process,(javacard.framework.APDU)
A0000000620101,javacard.framework,10,APDU,0,getInBlockSize,()
A0000000620101,javacard.framework,10,APDU,1,getOutBlockSize,()
A0000000620101,javacard.framework,10,APDU,2,getProtocol,()
A0000000620101,javacard.framework,10,APDU,4,getCurrentAPDU,()
A0000000620101,javacard.framework,10,APDU,5,getCurrentAPDUBuffer,()
A0000000620101,javacard.framework,10,APDU,6,getCLAChannel,()
A0000000620101,javacard.framework,10,APDU,3,waitExtension,()
A0000000620101,javacard.framework,10,APDU,1,getBuffer,()
A0000000620101,javacard.framework,10,APDU,2,getNAD,()
A0000000620101,javacard.framework,10,APDU,3,receiveBytes,(short)
A0000000620101,javacard.framework,10,APDU,4,sendBytes,(short;short)
A0000000620101,javacard.framework,10,APDU,5,sendBytesLong,(byte[];short;short)
A0000000620101,javacard.framework,10,APDU,6,setIncomingAndReceive,()
