AID,package name,class token,class name,method type,method token,method name,method signature
A0000000620101,javacard.framework,18,AppletEvent,virtual,0,uninstall,void()
A0000000620101,javacard.framework,0,ISO7816
A0000000620101,javacard.framework,17,MultiSelectable,virtual,0,select,boolean(boolean)
A0000000620101,javacard.framework,17,MultiSelectable,virtual,1,deselect,void(boolean)
A0000000620101,javacard.framework,1,PIN,virtual,0,check,boolean(byte[];short;byte)
A0000000620101,javacard.framework,1,PIN,virtual,1,getTriesRemaining,byte()
A0000000620101,javacard.framework,1,PIN,virtual,2,isValidated,boolean()
A0000000620101,javacard.framework,1,PIN,virtual,3,reset,void()
A0000000620101,javacard.framework,19,OwnerPINx,virtual,0,check,boolean(byte[];short;byte)
A0000000620101,javacard.framework,19,OwnerPINx,virtual,1,getTriesRemaining,byte()
A0000000620101,javacard.framework,19,OwnerPINx,virtual,2,isValidated,boolean()
A0000000620101,javacard.framework,19,OwnerPINx,virtual,3,reset,void()
A0000000620101,javacard.framework,19,OwnerPINx,virtual,4,update,void(byte[];short;byte)
A0000000620101,javacard.framework,19,OwnerPINx,virtual,5,getTryLimit,byte()
A0000000620101,javacard.framework,19,OwnerPINx,virtual,6,setTryLimit,void(byte)
A0000000620101,javacard.framework,19,OwnerPINx,virtual,7,setTriesRemaining,void(byte)
A0000000620101,javacard.framework,20,OwnerPINxWithPredecrement,virtual,0,check,boolean(byte[];short;byte)
A0000000620101,javacard.framework,20,OwnerPINxWithPredecrement,virtual,1,getTriesRemaining,byte()
A0000000620101,javacard.framework,20,OwnerPINxWithPredecrement,virtual,2,isValidated,boolean()
A0000000620101,javacard.framework,20,OwnerPINxWithPredecrement,virtual,3,reset,void()
A0000000620101,javacard.framework,20,OwnerPINxWithPredecrement,virtual,4,update,void(byte[];short;byte)
A0000000620101,javacard.framework,20,OwnerPINxWithPredecrement,virtual,5,getTryLimit,byte()
A0000000620101,javacard.framework,20,OwnerPINxWithPredecrement,virtual,6,setTryLimit,void(byte)
A0000000620101,javacard.framework,20,OwnerPINxWithPredecrement,virtual,7,setTriesRemaining,void(byte)
A0000000620101,javacard.framework,20,OwnerPINxWithPredecrement,virtual,8,decrementTriesRemaining,byte()
A0000000620101,javacard.framework,2,Shareable
A0000000620101,javacard.framework,6,AID,virtual,1,RIDEquals,boolean(javacard.framework.AID)
A0000000620101,javacard.framework,6,AID,virtual,3,getBytes,byte(byte[];short)
A0000000620101,javacard.framework,6,AID,virtual,4,partialEquals,boolean(byte[];short;byte)
