AID,package name,class token,class name,method type,method token,method name,method signature
A00000015100,org.globalplatform,0,Application,virtual,0,processData,void(byte[];short;short)
A00000015100,org.globalplatform,7,Authority,virtual,0,init,void(byte)
A00000015100,org.globalplatform,7,Authority,virtual,1,sign,short(byte[];short;short;byte[];short)
A00000015100,org.globalplatform,7,Authority,virtual,2,update,void(byte[];short;short)
A00000015100,org.globalplatform,7,Authority,virtual,3,recoverKey,short(byte[];short;short;byte[];short)
A00000015100,org.globalplatform,12,AuthoritySignature,virtual,0,init,void(byte;byte[];short;short)
A00000015100,org.globalplatform,12,AuthoritySignature,virtual,1,sign,short(byte[];short;short;byte[];short)
A00000015100,org.globalplatform,12,AuthoritySignature,virtual,2,update,void(byte[];short;short)
A00000015100,org.globalplatform,12,AuthoritySignature,virtual,3,getLength,short()
A00000015100,org.globalplatform,1,CVM,virtual,0,isActive,boolean()
A00000015100,org.globalplatform,1,CVM,virtual,1,isSubmitted,boolean()
A00000015100,org.globalplatform,1,CVM,virtual,2,isVerified,boolean()
A00000015100,org.globalplatform,1,CVM,virtual,3,isBlocked,boolean()
A00000015100,org.globalplatform,1,CVM,virtual,4,getTriesRemaining,byte()
A00000015100,org.globalplatform,1,CVM,virtual,5,update,boolean(byte[];short;byte;byte)
A00000015100,org.globalplatform,1,CVM,virtual,6,resetState,boolean()
A00000015100,org.globalplatform,1,CVM,virtual,7,blockState,boolean()
A00000015100,org.globalplatform,1,CVM,virtual,8,resetAndUnblockState,boolean()
A00000015100,org.globalplatform,1,CVM,virtual,9,setTryLimit,boolean(byte)
A00000015100,org.globalplatform,1,CVM,virtual,10,verify,short(byte[];short;byte;byte)
A00000015100,org.globalplatform,4,GPRegistryEntry,virtual,0,deregisterService,void(short)
A00000015100,org.globalplatform,4,GPRegistryEntry,virtual,1,getAID,javacard.framework.AID()
A00000015100,org.globalplatform,4,GPRegistryEntry,virtual,2,getPrivileges,short(byte[];short)
A00000015100,org.globalplatform,4,GPRegistryEntry,virtual,3,getState,byte()
A00000015100,org.globalplatform,4,GPRegistryEntry,virtual,4,isAssociated,boolean(javacard.framework.AID)
A00000015100,org.globalplatform,4,GPRegistryEntry,virtual,5,isPrivileged,boolean(byte)
A00000015100,org.globalplatform,4,GPRegistryEntry,virtual,6,registerService,void(short)
A00000015100,org.globalplatform,4,GPRegistryEntry,virtual,7,setState,boolean(byte)
A00000015100,org.globalplatform,5,GlobalService,virtual,0,getServiceInterface,javacard.framework.Shareable(org.globalplatform.GPRegistryEntry;short;byte[];short;short)
A00000015100,org.globalplatform,9,HTTPAdministration,virtual,0,requestHTTPAdministrationSession,void(byte[];short;short)
A00000015100,org.globalplatform,10,HTTPReportListener,virtual,0,httpAdministationSessionReport,void(short)
A00000015100,org.globalplatform,8,Personalization,virtual,0,processData,short(byte[];short;short;byte[];short)
A00000015100,org.globalplatform,2,SecureChannel,virtual,0,processSecurity,short(javacard.framework.APDU)
A00000015100,org.globalplatform,2,SecureChannel,virtual,1,wrap,short(byte[];short;short)
A00000015100,org.globalplatform,2,SecureChannel,virtual,2,unwrap,short(byte[];short;short)
A00000015100,org.globalplatform,2,SecureChannel,virtual,3,decryptData,short(byte[];short;short)
A00000015100,org.globalplatform,2,SecureChannel,virtual,4,encryptData,short(byte[];short;short)
A00000015100,org.globalplatform,2,SecureChannel,virtual,5,resetSecurity,void()
A00000015100,org.globalplatform,2,SecureChannel,virtual,6,getSecurityLevel,byte()
A00000015100,org.globalplatform,6,SecureChannelx,virtual,0,processSecurity,short(javacard.framework.APDU)
A00000015100,org.globalplatform,6,SecureChannelx,virtual,1,wrap,short(byte[];short;short)
