AID,package name,class token,class name,method type,method token,method name,method signature
A0000000030000,visa.openplatform,0,ProviderSecurityDomain,virtual,0,openSecureChannel,byte(javacard.framework.APDU)
A0000000030000,visa.openplatform,0,ProviderSecurityDomain,virtual,1,closeSecureChannel,void(byte)
A0000000030000,visa.openplatform,0,ProviderSecurityDomain,virtual,2,decryptVerifyKey,boolean(byte;javacard.framework.APDU;short)
A0000000030000,visa.openplatform,0,ProviderSecurityDomain,virtual,3,unwrap,void(byte;javacard.framework.APDU)
A0000000030000,visa.openplatform,0,ProviderSecurityDomain,virtual,4,verifyExternalAuthenticate,void(byte;javacard.framework.APDU)
A0000000030000,visa.openplatform,1,OPSystem,static,0,getCardContentState,byte()
A0000000030000,visa.openplatform,1,OPSystem,static,1,getCardManagerState,byte()
A0000000030000,visa.openplatform,1,OPSystem,static,2,getCPLCData,void(javacard.framework.APDU;short;short;short)
A0000000030000,visa.openplatform,1,OPSystem,static,3,getTriesRemaining,byte()
A0000000030000,visa.openplatform,1,OPSystem,static,4,getSecurityDomain,visa.openplatform.ProviderSecurityDomain()
A0000000030000,visa.openplatform,1,OPSystem,static,5,setCardContentState,boolean(byte)
A0000000030000,visa.openplatform,1,OPSystem,static,6,lockCardManager,boolean()
A0000000030000,visa.openplatform,1,OPSystem,static,7,terminateCardManager,boolean()
A0000000030000,visa.openplatform,1,OPSystem,static,8,setPin,boolean(javacard.framework.APDU;short)
A0000000030000,visa.openplatform,1,OPSystem,static,9,verifyPin,boolean(javacard.framework.APDU;short)
